Dokumen,Topik_ID,Probabilitas,Name,Representation
satiyah pengaruh faktorfaktor latih kembang produktivitas kerja dinas laut ikan bangkal bawah bimbing drahjsanugrahini irawatimm helm buyung auliasstsemmt upaya tingkat produktivitas kerja mudah salah usaha produktivitas tingkat terap program latih kembang sumber daya manusia sdm laksana instansi produktivitas capai tingkat mampu pegawai efektif efisien latih pengembnagan harap pegawai sesuai kebutuhankebutuhan sikap tingkah laku terampil tahu sesuai tuntut ubah latih kembang pegawai dukung cipta suasana kerja kondusif instansi produktivitas kerja tingkat tuju teliti pengaruh faktorfaktor latih kembang produktivitas kerja dinas laut ikan bangkal ukur menganalisa hubung variabel teliti dekat observasional analitik amat langsung responden sebar kuisioner analis teliti teliti populasi responden sampel olah spss versi analis metode statistik metode non probality sampling simple random sampling simpul teliti a faktorfaktor latih kembang beda individu pegawai x hubung analisis jabat x motivasi x partisipasi aktif x seleksi serta x seleksi instruktur x metode latih kembang x pengaruh simultan produktivitas kerja pegawai dinas laut ikan kabupaten bangkal bukti nilai koefisien determinasi ganda r r square fhitung ftabel b faktor hubung analisis jabat pengaruh parsial produktivitas kerja pegawai dinas laut ikan kabupaten bangkal uji hipotesis variabel motivasi x bukti nilai thitung seleksi serta x pengaruh dominan produktivitas kerja pegawai instansi dinas laut ikan bangkal kunci dinas laut ikan faktorfaktor latih kembang produktivitas kerja,1,1.0,1_produk_beli_putus_produktivitas,"['produk', 'beli', 'putus', 'produktivitas', 'kualitas', 'pengaruh', 'variabel', 'uji', 'teliti', 'harga']"
tuju teliti persepsi brand association langgan pakai kiddrock studi distro cranberries pamekasan teliti metode deskriptif metode survei populasi teliti langgan pakai kiddrock distro cranberries sampel teliti orang responden distro cranberries desember metode ambil sampel sampling aksidental metode kumpul data teliti lapang field research bagi kuesioner riset pustaka data teknik olah data pengolaha data bantu perangkat lunak spss versi uji validitas uji reabilitas skala likert persepsi konsumen brand association dimensi dimensi jamin dimensi identifikasi pribadi dimensi identifikasi sosial dimensi status dimensi sedia terima luas merek dimensi sedia rekomendasi merek hasil analisis tunjuk persepsi brand association langgan pakai kiddrock distro cranberriess apresisasikan dimensi jamin kunci brand association presepsi kiddrock cranberries,8,0.9609940735274265,8_brand_merek_nokia_smartphone,"['brand', 'merek', 'nokia', 'smartphone', 'handphone', 'image', 'putus', 'produk', 'citra', 'beli']"
aplikasi nyata manfaat teknologi informasi komunikasi bidang layan administrasi akademik guru salah satu sistem portal akademik universitas trunojoyo madura implementasi proses selenggara temu kendala teknis non teknis teliti tuju puas langgan dasar analisis indeks puas langgan tinjau webqual fokus baik mutu layan website portal akademik universitas trunjoyo madura dasar importance performance analysis tinjau webqual teliti teliti kuantitaif deskriptif gambar deskripsi lukis sistematis faktual akurat kualitas layan jasa online mahasiswasampelpenelitianiniadalahmahasiswaangkatan teknik sampel teknik stratified random sampling alat analisis indeks puas langgan analisis tingkat penting kerja hasil teliti skor indeks puas langgan ikp masuk kategori puas diagram kartesius importance performance atribut prioritas utama baik mutu situs portal akademik universitas trunojoyo madura informasi administrasi akademik mahasiswa jelasdetail ter update ki informasi administrasi akademik situs portal akademik utm percaya ki portal utm guna aman data akademik mahasiswa krs khs transkrip data personal sesuai kip kunci website importance performance webqual indeks puas langgan,5,1.0,5_teliti_daya_data_layan,"['teliti', 'daya', 'data', 'layan', 'mahasiswa', 'beli', 'kualitas', 'peran', 'studi', 'analisis']"
teliti metode kuantitatif tekan uji hipotesis variabel teliti kepemimpinanx kompensasi x teliti laksana kantor dinas didik kabupaten sampang sampel orang pegawai negeri sipil non pns hipotesis variabel bebas bersamasama hubung signifikan simultan pimpin x kompensasi x kerja pegawai y bukti nilai fhitung tingkat nilai r hipotesis variabel kompensasi variabel pengaruh dominan bukti nilai t hitung pengaruh positif signifikan parsial variabel bebas x variabel ikat y simpul teliti uji hipotesis dasar uji statistik simultan variabel bebas milik pengaruh signifikan variabel ikat uji hipotesis bukti variabel kompensasi x variabel pengaruh dominan kerja pegawai dinas didik kabupaten sampang kunci pimpin kompensasi kerja,0,0.9545844879083891,0_kerja_karyawan_pengaruh_variabel,"['kerja', 'karyawan', 'pengaruh', 'variabel', 'positif', 'signifikan', 'puas', 'nilai', 'teliti', 'pegawai']"
aththaariq pengaruh kompetensi dosen kerja dosen universitas trunojoyo madura bawah bimbing drrm moch wispandonosems dr muhammad alkirom wildansemsi teliti tuju analis pengaruh kompetensi pedagogik x kompetensi profesional x kompetensi sosial x kompetensi pribadi x variabel ikat kerja dosen universitas trunojoyo madura data teliti data primer data oleh hasil sebar kuesioner responden teliti dosen universitas trunojoyo madura sertifikasi aktif dosen teknik ambil sampel judgmental sampling metode analisis regresi linier ganda hasil teliti dasar hasil analisis simpul kompetensi pedagogik x kompetensi profesional x kompetensi sosial x kompetensi pribadi x pengaruh signifikan variabel ikat kerja dosen y simultan parsial nilai koefisiensi determinasi ganda r nilai kerja dosen pengaruh ubah variabel bebas teliti sisa pengaruh variabel teliti variabel milik pengaruh dominan variabel kompetensi pedagogik nilai signifikansi milik nilai beta kunci kompetensi pedagogik kompetensi profesional kompetensi sosial kompetensi kepribadiandan kerja dosen,0,1.0,0_kerja_karyawan_pengaruh_variabel,"['kerja', 'karyawan', 'pengaruh', 'variabel', 'positif', 'signifikan', 'puas', 'nilai', 'teliti', 'pegawai']"
haryono arifin pengaruh perilaku konsumen putus beli produk honda merek vario studi dealler surya agung motor bangkal tuju teliti pengaruh perilaku konsumen putus beli honda merek vario dealer surya agung motor bangkal variabel mana perilaku konsumen budaya sosial pribadi psikologis dominan putus beli konsumen honda merek vario teliti dekat kuantitatif amat langsung responden sebar kuesioner dianalisa teliti teliti populasi responden konsumen beli honda merek vario dealer surya agung motor bangkal jadi responden analis spss versi simpul teliti uji hipotesis variabel perilaku konsumen budaya sosial pribadi psikologis pengaruh simultan putus beli honda merek vario uji hipotesis variabel psikologis variabel pengaruh dominan kunci budaya sosial pribadi psikologis putus beli,11,1.0,11_motor_honda_sepeda_merek,"['motor', 'honda', 'sepeda', 'merek', 'yamaha', 'beli', 'putus', 'konsumen', 'produk', 'dealer']"
dharma abidin syahkesimpulan pengaruh signifikan variabel tipe pimpin autoritarian laissezfaire demokratis simultan variabel prestasi kerja pegawai kantor camat pangarengan kabupaten sampang hasil uji f anova tunjuk nilai fhitung ftabel variabel tipe pimpin autoritarian laissezfaire demokratis simultan kontribusi prestasi kerja pegawai pengaruh signifikan variabel pimpin tipe autoritariansecara parsial prestasi kerja pegawaidikantor camat pangarengan kabupaten sampang hasil uji t tunjuk nilai t hitung t tabel parsial variabel pimpin tipe autoritarian kontribusi variabel prestasi kerja pegawai pengaruh signifikan variabel pimpin tipe laissezfairesecara parsial prestasi kerja pegawaidikantor camat pangarengan kabupaten sampang hasil uji t tunjuk nilai t hitung t tabel parsial variabel pimpin tipe laissezfaire kontribusi variabel prestasi kerja pegawai pengaruh signifikan variabel pimpin tipe demokratis parsial prestasi kerja pegawaidikantor camat pangarengan kabupaten sampang hasil uji t tunjuk nilai t hitung t tabel parsial variabel pimpin tipe demokratis kontribusi variabel prestasi kerja pegawai variabel tipe demokratis nilai koefisien determinasi variabel bebas lai variabel dominan pengaruh variabel prestasi kerja pegawai kantor camat pangarengan kabupaten sampang kunci tipe pimpin prestasi kerja pegawai,0,0.9752437300673428,0_kerja_karyawan_pengaruh_variabel,"['kerja', 'karyawan', 'pengaruh', 'variabel', 'positif', 'signifikan', 'puas', 'nilai', 'teliti', 'pegawai']"
tuju teliti identifikasi variabelvariabel pengaruh puas konsumen simultan parsial metode metode kuantitatif populasi konsumen depot barokah prambon layan depot barokah prambon sampel responden teknik accidental sampling teknik analisis analisis regresi linier ganda hasil teliti variabel independen variabel bukti fisik x kehandalan x jamin x parsial pengaruh signifikan puas konsumen y variabel independen daya tanggap x empati x pengaruh signifikan variabel dependen puas konsumen y variabel jamin x pengaruh puas konsumen y simultan variabel independen kualitas layan x simultan pengaruh signifikan variabel dependen puas konsumen y kunci kualitas layan bukti fisik kehandalan daya tanggap jamin empati puas konsumen,-1,0.0,-1_usaha_teliti_pengaruh_kerja,"['usaha', 'teliti', 'pengaruh', 'kerja', 'variabel', 'karyawan', 'signifikan', 'nilai', 'hasil', 'analisis']"
hasil teliti hitung credit risk ratio tunjuk npl pd bpr bank daerah lamongan alami turun tingkat resiko simpul teliti tingkat resiko pd bpr bank daerah lamongan alami turun tingkat resiko npl dikatagorikan dasar tentu bank indonesia syarat npl maksimal kunci credit risk ratio non performing loan,7,0.5760071233518422,7_loan_ldr_car_roa,"['loan', 'ldr', 'car', 'roa', 'npl', 'ratio', 'deposit', 'adequacy', 'bopo', 'performing']"
tuju teliti deskripsi inovasi unggul saing kerja pasar terap inovasi unggul saing optik reza lamongan teliti deskriptif kualitatif dekat fenomenologi teknik kumpul data wawancara observasi guna dokumen teknik analisis data data reduction data display conclusion drawing verification hasil teliti usaha optik reza lamongan inovasi unggul saing tingkat kerja pasar optik reza lamongan terap inovasi unggul saing volume omzet jual tingkat bukti alami tingkat produk tawar alami baik pangsa pasar luas daerah jawa timur jawa kunci inovasi unggul saing kerja pasar,-1,0.0,-1_usaha_teliti_pengaruh_kerja,"['usaha', 'teliti', 'pengaruh', 'kerja', 'variabel', 'karyawan', 'signifikan', 'nilai', 'hasil', 'analisis']"
