word,frequency
u,1143
call,578
im,464
get,390
ur,384
go,282
dont,279
free,278
ok,277
ltgt,276
å,274
know,257
got,251
like,242
ill,237
good,234
come,226
day,211
time,208
love,195
want,192
send,190
text,189
going,171
one,170
need,166
txt,163
home,162
lor,160
see,156
sorry,156
r,154
stop,153
still,153
back,152
n,144
reply,144
today,141
mobile,139
tell,137
new,136
later,134
well,133
hi,133
think,132
da,132
please,130
phone,126
take,126
cant,123
ì_,117
week,115
night,113
claim,113
much,113
dear,113
oh,112
great,111
hey,111
pls,109
na,106
happy,106
hope,103
way,101
make,101
give,100
work,99
wat,96
wan,95
number,94
thats,94
prize,92
yes,92
right,92
say,91
already,90
tomorrow,90
ask,88
yeah,86
really,86
said,86
e,85
b,84
message,83
k,83
c,83
amp,82
msg,81
didnt,79
last,78
meet,78
babe,78
life,77
morning,77
miss,76
would,76
p,76
cos,76
thanks,75
ive,74
cash,74
lol,73
anything,73
every,73
find,73
win,72
nokia,72
also,71
sure,71
pick,71
let,70
something,68
keep,68
contact,68
sent,68
care,67
buy,65
urgent,65
us,63
feel,62
first,62
next,62
even,61
around,61
thing,61
went,61
could,60
place,59
someone,59
help,59
service,59
wait,59
many,59
soon,59
gon,59
per,59
tonight,59
friends,58
customer,58
chat,57
money,57
nice,57
sleep,56
always,56
ya,56
late,56
dun,55
leave,55
wont,54
waiting,53
told,53
things,53
youre,53
gud,53
st,53
ìï,52
x,52
v,52
wish,52
name,51
year,50
guaranteed,50
getting,50
mins,50
yet,50
box,50
people,50
thk,50
coming,50
done,49
hello,49
try,48
tone,48
haha,48
thought,47
best,47
friend,47
havent,46
live,46
may,46
lunch,45
fine,45
class,45
man,45
talk,45
ppm,44
sms,44
days,44
holiday,44
use,44
smile,44
hows,44
meeting,43
yup,43
bit,43
th,43
draw,43
never,43
job,43
stuff,43
trying,43
heart,43
special,43
line,42
finish,42
long,42
min,42
better,42
cool,41
ready,41
end,41
person,41
mind,41
dat,39
latest,39
chance,39
account,39
enjoy,39
car,39
awarded,38
eat,38
lar,38
check,38
play,38
nothing,38
guys,38
half,38
guess,38
receive,38
yo,37
real,37
big,37
another,37
camera,36
birthday,36
shows,36
house,36
dinner,35
jus,35
liao,35
problem,35
ever,35
shit,35
luv,34
lot,34
landline,34
room,34
word,34
quite,34
girl,34
might,34
watching,34
sir,34
early,33
aight,33
sweet,33
xxx,33
po,33
world,33
cost,33
whats,33
start,33
called,33
speak,33
pm,33
watch,33
probably,33
hes,32
apply,32
month,32
god,32
id,32
minutes,32
actually,32
nd,32
two,32
hear,32
pa,32
offer,32
thanx,32
bed,32
plan,32
hrs,32
princess,32
den,32
fun,31
remember,31
easy,31
video,31
nite,31
bad,31
maybe,31
pay,31
reach,31
look,31
dunno,31
forgot,31
kiss,31
part,31
shopping,31
pobox,30
left,30
ah,30
code,30
boy,30
